rebalance_date,ticker,rank,selected_flag
2016-07-18,NVDA,7.0,1
2016-07-18,RIG,8.0,1
2016-07-18,PAYX,9.0,1
2016-07-18,ROK,10.0,1
2016-07-18,SWN,11.0,1
2016-07-18,HSY,12.0,1
2016-07-18,CPB,13.0,1
2016-07-18,ED,14.0,1
2016-07-18,HP,15.0,1
2016-07-18,YUM,16.0,1
2016-07-18,HOT,17.0,1
2016-07-18,IBM,18.0,1
2016-07-18,KLAC,19.0,1
2016-07-18,UPS,20.0,1
2016-08-15,OKE,1.0,1
2016-08-15,NVDA,2.0,1
2016-08-15,MUR,3.0,1
2016-08-15,NEM,4.0,1
2016-08-15,CLX,5.0,1
2016-08-15,GRMN,6.0,1
2016-08-15,RIG,7.0,1
2016-08-15,FCX,8.0,1
2016-08-15,IBM,9.0,1
2016-08-15,PAYX,10.0,1
2016-08-15,LLTC,11.0,1
2016-08-15,NTAP,12.0,1
2016-08-15,DNB,13.0,1
2016-08-15,YUM,14.0,1
2016-08-15,HSY,15.0,1
2016-08-15,DGX,16.0,1
2016-08-15,ROK,17.0,1
2016-08-15,WMB,18.0,1
2016-08-15,CAT,19.0,1
2016-08-15,FFIV,20.0,1
2016-09-12,OKE,1.0,1
2016-09-12,NVDA,2.0,1
2016-09-12,SWN,3.0,1
2016-09-12,CLX,4.0,1
2016-09-12,WMB,5.0,1
2016-09-12,NTAP,6.0,1
2016-09-12,LLTC,7.0,1
2016-09-12,PAYX,8.0,1
2016-09-12,NEM,9.0,1
2016-09-12,DNB,10.0,1
2016-09-12,GRMN,11.0,1
2016-09-12,BLK,12.0,1
2016-09-12,IBM,13.0,1
2016-09-12,AFL,14.0,1
2016-09-12,ROK,15.0,1
2016-09-12,ED,16.0,1
2016-09-12,YUM,17.0,1
2016-09-12,PBCT,18.0,1
2016-09-12,CINF,19.0,1
2016-09-12,LEG,20.0,1
2016-10-10,AA,1.0,1
2016-10-10,OKE,2.0,1
2016-10-10,NVDA,3.0,1
2016-10-10,CLX,4.0,1
2016-10-10,NTAP,5.0,1
2016-10-10,LLTC,6.0,1
2016-10-10,RIG,7.0,1
2016-10-10,GRMN,8.0,1
2016-10-10,PAYX,9.0,1
2016-10-10,TDC,10.0,1
2016-10-10,WMB,11.0,1
2016-10-10,CAT,12.0,1
2016-10-10,IBM,13.0,1
2016-10-10,PBCT,14.0,1
2016-10-10,FFIV,15.0,1
2016-10-10,HSY,16.0,1
2016-10-10,UPS,17.0,1
2016-10-10,ROK,18.0,1
2016-10-10,BLK,19.0,1
2016-10-10,DE,20.0,1
2016-11-07,NVDA,1.0,1
2016-11-07,LLTC,2.0,1
2016-11-07,NTAP,3.0,1
2016-11-07,OKE,4.0,1
2016-11-07,GRMN,5.0,1
2016-11-07,FFIV,6.0,1
2016-11-07,PBCT,7.0,1
2016-11-07,CLX,8.0,1
2016-11-07,HSY,9.0,1
2016-11-07,PAYX,10.0,1
2016-11-07,NFLX,11.0,1
2016-11-07,WDC,12.0,1
2016-11-07,WMB,13.0,1
2016-11-07,ROK,14.0,1
2016-11-07,CAT,15.0,1
2016-11-07,UPS,16.0,1
2016-11-07,FITB,17.0,1
2016-11-07,IBM,18.0,1
2016-11-07,KLAC,19.0,1
2016-11-07,ED,20.0,1
2016-12-05,NVDA,1.0,1
2016-12-05,NTAP,2.0,1
2016-12-05,PBCT,3.0,1
2016-12-05,LLTC,4.0,1
2016-12-05,RIG,5.0,1
2016-12-05,OKE,6.0,1
2016-12-05,FITB,7.0,1
2016-12-05,GRMN,8.0,1
2016-12-05,LNC,9.0,1
2016-12-05,CLX,10.0,1
2016-12-05,KSS,11.0,1
2016-12-05,UAL,12.0,1
2016-12-05,PAYX,13.0,1
